id;phenomenon_time;result;result_time;property;unit_of_measurement;interval_time;reserve;assemblyline_id;link_id
1;2020-02-27T00:15:24;parallelism Automotive;2020-02-26T17:00:59;XML Oklahoma multi-byte;Auto Loan Account;17192;Small Frozen Shirt Uganda artificial intelligence;1;1
2;2020-02-26T15:40:15;Expressway Manors Shoes;2020-02-26T22:25:56;Manager XSS;Multi-channelled proactive;86335;Personal Loan Account;2;2
3;2020-02-26T09:02:12;Bedfordshire secondary;2020-02-26T01:57:28;Towels Indian Rupee connect;infrastructure revolutionary;79461;Hawaii;3;3
4;2020-02-26T08:29:16;Papua New Guinea Ergonomic interface;2020-02-26T21:16:33;Indian Rupee Ngultrum;Customer;63860;Morocco;4;4
5;2020-02-26T17:50:20;navigate alarm Representative;2020-02-26T21:04:46;Future Wyoming;Club;57540;Practical Soft Tuna;5;5
6;2020-02-26T23:28:50;Cross-platform transition;2020-02-26T11:43:10;firewall;Rustic Steel Table;66713;Vermont indigo Kids;6;6
7;2020-02-26T18:48:02;Home Loan Account backing up;2020-02-26T12:29:45;generating Awesome Plastic Keyboard;integrate;81356;next-generation global;7;7
8;2020-02-26T11:15:12;invoice Dynamic portals;2020-02-26T07:21:40;extend;supply-chains;50586;Manager Nevada;8;8
9;2020-02-26T11:35:56;Cross-platform back up;2020-02-26T01:38:42;Small;sky blue client-server;50871;Programmable Bypass North Korean Won;9;9
10;2020-02-26T09:37:35;Intranet Cliff;2020-02-26T21:54:51;Manor;Sleek Frozen Tuna;51619;orange;10;10
