id;name;phenomenon_time;result;result_time;description;interval_time;type;unit_of_measurement;reserve;factory_id;product_id
1;optimize invoice Small;2020-02-27T01:11:44;Soft;2020-02-26T18:18:37;Borders Latvian Lats Liechtenstein;32820;cyan;impactful modular;Computers Home Loan Account;1;1
2;Colombian Peso Unidad de Valor Real Gorgeous Frozen Hat;2020-02-26T20:57:52;leading-edge Florida;2020-02-26T06:44:18;bricks-and-clicks Executive mesh;82216;secured line;Monitored Decentralized ability;Investment Account;2;2
3;drive methodology;2020-02-27T00:17:40;invoice SMTP;2020-02-26T11:20:38;empowering;50550;Dynamic COM Ports;GB;Gibraltar Berkshire;3;3
4;transmitting;2020-02-26T20:45:16;Cove;2020-02-26T20:11:17;Mount Human whiteboard;65296;compressing Analyst;intangible Avon Assurance;Integration;4;4
5;Awesome Outdoors one-to-one;2020-02-26T18:27:07;Mission solid state XML;2020-02-26T13:40:09;harness;30459;white Pre-emptive lavender;B2B Plastic Human;Hill Hawaii programming;5;5
6;stable;2020-02-26T20:29:12;virtual;2020-02-26T08:14:27;Berkshire Strategist Credit Card Account;73779;Dynamic;application;New Jersey;6;6
7;Platinum holistic;2020-02-27T00:38:17;azure;2020-02-26T15:08:52;Ergonomic reintermediate Fantastic;2554;system deposit;feed;Auto Loan Account Jewelery;7;7
8;Table Lithuania program;2020-02-26T07:43:27;evolve SDR Bedfordshire;2020-02-26T07:59:21;Grocery software deposit;10006;Generic Soft Mouse;Yemen Northern Mariana Islands Afghanistan;HDD override;8;8
9;Concrete;2020-02-26T21:42:48;payment Indian Rupee Ngultrum;2020-02-26T17:23:51;Parks Shirt;58627;bandwidth;Concrete Brazilian Real;Intranet networks PCI;9;9
10;fuchsia Response;2020-02-26T21:25:37;compress Cotton Papua New Guinea;2020-02-27T00:28:05;Checking Account Health Unbranded;36298;redundant Pizza context-sensitive;Personal Loan Account Moroccan Dirham hacking;index Unbranded bus;10;10
