id;name;type;description;capacity;plan_capacity;reserve;factory_id
1;Generic Steel Tuna;website calculating;cross-platform support;2020-02-26T01:44:12;2020-02-26T07:07:50;wireless Chilean Peso Unidades de fomento;1
2;reboot;Dynamic magenta Track;actuating THX;2020-02-26T23:25:32;2020-02-26T02:55:18;Rustic Steel Soap Kina;2
3;navigating Metical;Incredible Infrastructure;Internal compressing;2020-02-26T12:11:50;2020-02-26T10:06:07;Bedfordshire;3
4;Credit Card Account;Gloves Lao People's Democratic Republic;neutral;2020-02-27T00:22:38;2020-02-27T00:24:43;Business-focused;4
5;Computer Oklahoma Identity;throughput;Village;2020-02-26T06:04:31;2020-02-26T02:29:58;Vermont indigo;5
6;JSON;New Mexico Implementation Steel;Shirt intangible;2020-02-26T18:51:24;2020-02-26T13:59:55;Crossroad invoice;6
7;Liaison;Keyboard;Central Ergonomic Concrete Ball;2020-02-26T04:13:34;2020-02-26T08:10:55;Gorgeous Rubber Cheese quantifying;7
8;cross-platform;multi-byte online Forward;open-source;2020-02-26T05:34:27;2020-02-26T21:18:18;efficient;8
9;Buckinghamshire;Practical AGP Implementation;wireless navigate grey;2020-02-26T14:28:44;2020-02-26T17:50:03;Automotive Massachusetts Checking Account;9
10;system-worthy;Ergonomic;Ergonomic Metal Keyboard full-range Cambridgeshire;2020-02-26T06:32:10;2020-02-26T21:34:12;National;10
