id;name;phenomenon_time;result;result_time;description;level;status;resolve_time;details
1;Borders strategic Towels;2020-02-26T09:39:19;compressing Barbados Dollar Berkshire;2020-02-26T15:42:20;Group Mongolia;holistic Computers;hacking Michigan;2020-02-26T14:56:11;Senior virtual
2;Down-sized;2020-02-26T11:08:53;Senior;2020-02-26T05:31:24;Developer;Electronics Passage Czech Koruna;Corporate Handmade generating;2020-02-26T04:41:29;bi-directional
3;open-source;2020-02-26T01:57:59;Qatari Rial envisioneer Terrace;2020-02-26T03:25:55;innovate;Forward synthesizing Route;USB Avon;2020-02-26T06:05:31;Montana
4;Saint Kitts and Nevis Refined Concrete Chips copy;2020-02-26T22:47:32;transmitter redundant;2020-02-26T12:19:03;Associate;interfaces Toys;THX;2020-02-26T02:25:40;Borders
5;copy payment;2020-02-26T23:12:36;Games;2020-02-26T17:20:11;Central;Personal Loan Account contextually-based;olive grow Lake;2020-02-27T00:30:16;Re-contextualized
6;application Jersey;2020-02-26T09:56:33;RAM;2020-02-26T15:53:56;solid state;projection index;multi-byte Avon Buckinghamshire;2020-02-27T01:27:45;programming virtual Chicken
7;mission-critical withdrawal plum;2020-02-26T10:53:19;Hat Wooden one-to-one;2020-02-26T11:55:00;payment;Accounts;Ranch;2020-02-26T13:34:29;connecting Supervisor Rapid
8;aggregate;2020-02-26T23:31:33;Identity;2020-02-26T06:27:50;asymmetric e-business haptic;Designer Checking Account plum;scalable;2020-02-26T22:14:16;payment
9;Persevering;2020-02-26T08:01:37;Officer Rustic Tasty;2020-02-26T16:00:39;payment;Hat;Home Loan Account;2020-02-27T00:12:08;Lebanon
10;Directives;2020-02-26T16:48:27;Home;2020-02-26T01:31:36;payment;Sharable Unbranded Concrete Bike lime;Integration Organized;2020-02-26T21:48:01;Baby Industrial Savings Account
