id;name;type;description;capacity;plan_capacity;reserve;product_id
1;Money Market Account;Right-sized;Central Executive;2020-02-26T20:26:10;2020-02-26T02:26:41;Tuvalu JSON;1
2;Overpass Small;Arkansas Sports;olive Libyan Dinar Implementation;2020-02-26T03:20:29;2020-02-26T16:26:12;generating multi-byte;2
3;Corporate synergize;Expressway Nakfa;Operative Florida;2020-02-26T06:21:31;2020-02-27T00:36:36;GB overriding;3
4;hack Points;interface Outdoors;Ergonomic AGP auxiliary;2020-02-27T00:33:44;2020-02-26T12:34:57;Center sexy;4
5;deposit;copying black;Shirt Ergonomic Reactive;2020-02-26T15:17:06;2020-02-26T09:17:03;application withdrawal;5
6;Agent;silver;deploy turn-key Investor;2020-02-26T08:56:10;2020-02-26T04:52:00;AGP;6
7;transmit auxiliary;Garden incubate Rustic;protocol Buckinghamshire;2020-02-26T06:56:25;2020-02-26T06:56:50;rich methodology;7
8;forecast;Saint Helena e-business neural;Fresh;2020-02-27T01:08:31;2020-02-27T00:13:27;Avon Managed Sports;8
9;withdrawal synergies Interactions;indigo Borders Home;Cotton Gateway Buckinghamshire;2020-02-26T08:47:26;2020-02-26T11:02:36;SMS;9
10;empower silver;Rapid;deposit black Architect;2020-02-26T03:45:37;2020-02-26T11:58:36;Savings Account;10
